iter	MultiClass
0	1.086983099
1	1.076589184
2	1.066283083
3	1.059393293
4	1.050988398
5	1.042598096
6	1.038512279
7	1.032926149
8	1.028281116
9	1.024244679
10	1.018034407
11	1.011251644
12	1.005512147
13	1.002995936
14	0.9983739423
15	0.9947251363
16	0.9896160392
17	0.9853084883
18	0.9804280691
19	0.977704195
20	0.9753313121
21	0.9708474669
22	0.9678996705
23	0.9646622445
24	0.9601898292
25	0.9568629921
26	0.9534155797
27	0.9514403988
28	0.949204222
29	0.9452699062
30	0.9435833962
31	0.9415721844
32	0.9393952643
33	0.9357032853
34	0.9338767113
35	0.9311012401
36	0.9283061715
37	0.9268144563
38	0.9244119107
39	0.9230492992
40	0.9211999722
41	0.9180119205
42	0.9163176791
43	0.9141681417
44	0.9122144754
45	0.910105558
46	0.9089887072
47	0.9069365314
48	0.9052066465
49	0.9045771803
50	0.9032226061
51	0.9011460203
52	0.8987749566
53	0.8984441447
54	0.8956295357
55	0.8946935838
56	0.8935114175
57	0.891940327
58	0.8906772438
59	0.8890318394
60	0.8878696821
61	0.885528745
62	0.8844779396
63	0.8826391822
64	0.8814682873
65	0.8794321539
66	0.8777663666
67	0.875554343
68	0.8742338749
69	0.8732244982
70	0.8717719855
71	0.8704892495
72	0.8681972068
73	0.8671616313
74	0.8661463455
75	0.8649486343
76	0.8647558452
77	0.8638312582
78	0.8622643211
79	0.8612814636
80	0.8607044266
81	0.8595279538
82	0.8585413447
83	0.8576099075
84	0.8559016954
85	0.8539126769
86	0.852540142
87	0.8507553279
88	0.8489979385
89	0.8477184185
90	0.8467044596
91	0.844641673
92	0.8416727604
93	0.8401781384
94	0.8388513542
95	0.8365363276
96	0.835777877
97	0.8334326886
98	0.8322290193
99	0.8311374373
100	0.8292344191
101	0.8278879229
102	0.8258332448
103	0.8240185699
104	0.8226354296
105	0.8217375918
106	0.8199942554
107	0.8175770596
108	0.8165147839
109	0.8154712333
110	0.8132253643
111	0.8113356639
112	0.8096933101
113	0.808899394
114	0.8081867313
115	0.8073793772
116	0.8064605002
117	0.8042971029
118	0.8029712404
119	0.8016034904
120	0.8000086249
121	0.7986175986
122	0.7974536433
123	0.7965492008
124	0.7951682662
125	0.7943005713
126	0.7929941729
127	0.7915916614
128	0.7903333586
129	0.7893839115
130	0.788762342
131	0.787374955
132	0.7862915674
133	0.7850219908
134	0.7842075838
135	0.7831648365
136	0.7818754097
137	0.7806783068
138	0.7795491605
139	0.778369193
