iter	Passed	Remaining
0	155	155770
1	157	78734
2	159	52907
3	159	39763
4	161	32080
5	162	26932
6	163	23135
7	164	20386
8	164	18167
9	166	16470
10	167	15089
11	169	13990
12	171	13008
13	171	12113
14	173	11381
15	173	10699
16	175	10138
17	176	9643
18	178	9194
19	179	8789
20	180	8399
21	182	8105
22	184	7837
23	186	7568
24	187	7311
25	188	7068
26	189	6846
27	190	6620
28	191	6426
29	193	6247
30	193	6057
31	195	5903
32	197	5791
33	199	5656
34	200	5524
35	201	5399
36	202	5282
37	204	5172
38	205	5068
39	207	4971
40	208	4878
41	209	4785
42	211	4709
43	213	4636
44	214	4559
45	216	4485
46	217	4412
47	218	4342
48	220	4278
49	221	4206
50	223	4154
51	225	4109
52	227	4062
53	228	3995
54	229	3942
55	230	3881
56	231	3833
57	233	3784
58	234	3737
59	235	3689
60	236	3646
61	238	3605
62	240	3569
63	241	3538
64	243	3501
65	244	3464
66	246	3426
67	247	3390
68	248	3359
69	250	3330
70	252	3299
71	254	3285
72	256	3256
73	257	3226
74	259	3198
75	260	3172
76	261	3134
77	262	3107
78	264	3081
79	265	3054
80	266	3024
81	267	2998
82	270	2984
83	271	2963
84	273	2940
85	274	2917
86	275	2895
87	277	2873
88	278	2851
89	279	2829
90	281	2808
91	282	2787
92	284	2777
93	286	2759
94	287	2740
95	289	2723
96	290	2705
97	292	2689
98	293	2673
99	295	2656
100	296	2640
101	299	2633
102	300	2621
103	302	2608
104	304	2594
105	305	2579
106	307	2563
107	308	2549
108	310	2534
109	311	2520
110	313	2514
111	315	2501
112	317	2489
113	318	2476
114	320	2462
115	321	2449
116	322	2436
117	324	2423
118	325	2411
119	327	2399
120	329	2390
121	330	2380
122	332	2368
123	333	2357
124	335	2345
125	336	2332
126	337	2321
127	339	2309
128	340	2298
129	341	2286
130	343	2280
131	345	2269
132	346	2261
133	348	2251
134	349	2242
135	351	2231
136	352	2221
137	354	2211
138	355	2201
139	357	2194
140	359	2187
141	360	2178
142	361	2168
143	363	2161
144	364	2151
145	366	2142
146	367	2133
147	368	2123
148	370	2115
149	371	2107
150	373	2100
151	375	2094
152	377	2087
153	378	2079
154	380	2071
155	381	2064
156	383	2057
157	384	2050
158	386	2044
159	388	2041
160	390	2033
161	391	2026
162	393	2019
163	394	2012
164	396	2006
165	397	1999
166	399	1993
167	401	1989
168	403	1983
169	405	1977
170	406	1971
171	408	1964
172	409	1957
173	411	1951
174	412	1945
175	414	1939
176	416	1936
177	418	1930
178	419	1924
179	421	1918
180	422	1912
181	424	1907
182	425	1901
183	427	1896
184	429	1890
185	433	1895
186	435	1891
187	436	1886
188	438	1881
189	440	1876
190	442	1876
191	444	1870
192	446	1867
193	448	1862
194	449	1857
195	451	1851
196	453	1846
197	454	1841
198	456	1835
199	457	1830
200	459	1825
201	461	1821
202	462	1816
203	464	1811
204	465	1806
205	467	1801
206	469	1796
207	470	1792
208	472	1788
209	474	1783
210	476	1780
211	477	1775
212	479	1771
213	480	1766
214	482	1761
215	483	1756
216	485	1752
217	487	1747
218	488	1742
219	490	1739
220	492	1735
221	493	1730
222	495	1726
223	497	1721
224	498	1717
225	500	1713
226	501	1708
227	503	1703
228	505	1701
229	507	1697
230	508	1693
231	510	1689
